ID;Nome;Profissão;Horas semanais;Plantões noturnos;Folgas (Últimos 7 dias);SP_GESTOR;Nome_Municipio;Prontidao (%);Status
29;Juliana Rocha (San);Médico Intensivista;24;0;1;354850;Santos;69.0;🟡 Atenção
30;Juliana Rocha (San);Médico Intensivista;30;1;1;354850;Santos;50.0;🟡 Atenção
31;Ana Silva (Rib);Médico Clínico Geral;36;1;2;354340;Ribeirão Preto;46.0;🔴 Crítico
32;Carlos Souza (Rib);Técnica de Enfermagem;12;3;2;354340;Ribeirão Preto;62.0;🟡 Atenção
33;Mariana Lima (Jun);Médico Intensivista;36;2;1;352590;Jundiaí;31.0;🔴 Crítico
34;Beatriz Alves (Jun);Enfermeiro;12;3;1;352590;Jundiaí;57.0;🟡 Atenção
35;Fernando Costa (Bar);Enfermeira Coordenadora;40;3;1;350570;Barueri;15.0;🔴 Crítico
36;Ana Silva (Bar);Médico Intensivista;12;3;1;350570;Barueri;57.0;🟡 Atenção
37;Rafael Ribeiro (Sor);Enfermeira Coordenadora;40;0;1;355220;Sorocaba;45.0;🔴 Crítico
38;Fernando Costa (Sor);Enfermeira Coordenadora;16;1;1;355220;Sorocaba;71.0;🟢 Apto
39;Juliana Rocha (Osa);Enfermeiro;24;3;0;353440;Osasco;34.0;🔴 Crítico
40;Mariana Lima (Osa);Enfermeira Coordenadora;24;0;1;353440;Osasco;69.0;🟡 Atenção
41;Carlos Souza (Pir);Médico Intensivista;16;2;1;353870;Piracicaba;61.0;🟡 Atenção
42;Mariana Lima (Pir);Enfermeiro;36;3;0;353870;Piracicaba;16.0;🔴 Crítico
43;Juliana Rocha (São);Enfermeiro;12;2;2;354880;São Caetano do Sul;72.0;🟢 Apto
44;Fernando Costa (São);Enfermeira Coordenadora;36;2;1;354880;São Caetano do Sul;31.0;🔴 Crítico
45;Gabriel Martins (Lim);Técnica de Enfermagem;24;2;0;352690;Limeira;44.0;🔴 Crítico
46;Beatriz Alves (Lim);Enfermeira Coordenadora;36;0;2;352690;Limeira;56.0;🟡 Atenção
47;Camila Santos (Ara);Enfermeiro;30;1;2;350320;Araraquara;55.0;🟡 Atenção
48;Rafael Ribeiro (Ara);Técnica de Enfermagem;24;2;0;350320;Araraquara;44.0;🔴 Crítico
49;Mariana Lima (Our);Médico Clínico Geral;40;2;1;353470;Ourinhos;25.0;🔴 Crítico
50;Gabriel Martins (Our);Técnica de Enfermagem;12;3;1;353470;Ourinhos;57.0;🟡 Atenção
51;Beatriz Alves (São);Enfermeira Coordenadora;40;0;0;354890;São Carlos;40.0;🔴 Crítico
52;Mariana Lima (São);Enfermeiro;40;1;2;354890;São Carlos;40.0;🔴 Crítico
53;Mariana Lima (Mau);Técnica de Enfermagem;30;0;1;352940;Mauá;60.0;🟡 Atenção
54;Juliana Rocha (Mau);Médico Clínico Geral;40;2;0;352940;Mauá;20.0;🔴 Crítico
55;Lucas Mendes (São);Médico Clínico Geral;40;3;0;354980;São José do Rio Preto;10.0;🔴 Crítico
56;Lucas Mendes (São);Enfermeiro;30;2;1;354980;São José do Rio Preto;40.0;🔴 Crítico
57;Ana Silva (Gua);Enfermeiro;36;1;2;351870;Guarujá;46.0;🔴 Crítico
58;Lucas Mendes (Gua);Enfermeira Coordenadora;16;1;1;351870;Guarujá;71.0;🟢 Apto
59;Lucas Mendes (Ind);Médico Clínico Geral;36;0;0;352050;Indaiatuba;46.0;🔴 Crítico
60;Gabriel Martins (Ind);Médico Clínico Geral;24;1;2;352050;Indaiatuba;64.0;🟡 Atenção
61;Lucas Mendes (Mog);Técnica de Enfermagem;12;3;0;353060;Mogi das Cruzes;52.0;🟡 Atenção
62;Gabriel Martins (Mog);Médico Intensivista;30;0;1;353060;Mogi das Cruzes;60.0;🟡 Atenção
63;Ana Silva (Jac);Médico Clínico Geral;30;0;1;352440;Jacareí;60.0;🟡 Atenção
64;Ana Silva (Jac);Enfermeiro;12;0;1;352440;Jacareí;87.0;🟢 Apto
65;Juliana Rocha (Jaú);Médico Intensivista;30;1;1;352530;Jaú;50.0;🟡 Atenção
66;Rafael Ribeiro (Jaú);Médico Intensivista;40;2;1;352530;Jaú;25.0;🔴 Crítico
67;Juliana Rocha (Dia);Técnica de Enfermagem;44;1;1;351380;Diadema;29.0;🔴 Crítico
68;Mariana Lima (Dia);Enfermeira Coordenadora;12;3;2;351380;Diadema;62.0;🟡 Atenção
69;Camila Santos (Mar);Médico Clínico Geral;40;0;1;352900;Marília;45.0;🔴 Crítico
70;Fernando Costa (Mar);Enfermeira Coordenadora;16;3;1;352900;Marília;51.0;🟡 Atenção
71;Fernando Costa (Bar);Técnica de Enfermagem;44;2;2;350550;Barretos;24.0;🔴 Crítico
72;Rafael Ribeiro (Bar);Enfermeira Coordenadora;40;1;1;350550;Barretos;35.0;🔴 Crítico
73;Carlos Souza (Cub);Técnica de Enfermagem;44;0;1;351350;Cubatão;39.0;🔴 Crítico
74;Camila Santos (Cub);Enfermeiro;44;3;0;351350;Cubatão;4.0;🔴 Crítico
75;Juliana Rocha (São);Técnica de Enfermagem;24;1;2;355100;São Vicente;64.0;🟡 Atenção
76;Juliana Rocha (São);Enfermeiro;36;3;0;355100;São Vicente;16.0;🔴 Crítico
77;Carlos Souza (Pau);Médico Intensivista;44;3;2;353650;Paulínia;14.0;🔴 Crítico
78;Gabriel Martins (Pau);Médico Clínico Geral;24;1;0;353650;Paulínia;54.0;🟡 Atenção
79;Mariana Lima (Ava);Enfermeira Coordenadora;24;2;1;350450;Avaré;49.0;🔴 Crítico
80;Ana Silva (Ava);Técnica de Enfermagem;36;0;1;350450;Avaré;51.0;🟡 Atenção
81;Rafael Ribeiro (Ita);Enfermeiro;12;1;0;352230;Itapetininga;72.0;🟢 Apto
82;Fernando Costa (Ita);Técnica de Enfermagem;30;0;1;352230;Itapetininga;60.0;🟡 Atenção
83;Camila Santos (Rio);Técnica de Enfermagem;16;0;2;354390;Rio Claro;86.0;🟢 Apto
84;Fernando Costa (Rio);Médico Intensivista;16;0;1;354390;Rio Claro;81.0;🟢 Apto
85;Juliana Rocha (Ita);Médico Intensivista;44;1;1;352240;Itapeva;29.0;🔴 Crítico
86;Lucas Mendes (Ita);Enfermeiro;24;2;1;352240;Itapeva;49.0;🔴 Crítico
87;Carlos Souza (Mog);Enfermeiro;30;2;0;353070;Mogi Guaçu;35.0;🔴 Crítico
88;Rafael Ribeiro (Mog);Técnica de Enfermagem;44;0;2;353070;Mogi Guaçu;44.0;🔴 Crítico
89;Carlos Souza (Tau);Enfermeiro;40;2;1;355410;Taubaté;25.0;🔴 Crítico
90;Camila Santos (Tau);Técnica de Enfermagem;36;1;0;355410;Taubaté;36.0;🔴 Crítico
91;Gabriel Martins (Car);Médico Clínico Geral;36;2;1;351050;Caraguatatuba;31.0;🔴 Crítico
92;Lucas Mendes (Car);Médico Clínico Geral;30;1;2;351050;Caraguatatuba;55.0;🟡 Atenção
93;Carlos Souza (Ame);Enfermeira Coordenadora;24;0;0;350160;Americana;64.0;🟡 Atenção
94;Ana Silva (Ame);Técnica de Enfermagem;36;0;2;350160;Americana;56.0;🟡 Atenção
95;Rafael Ribeiro (Itu);Enfermeira Coordenadora;30;0;2;352390;Itu;65.0;🟡 Atenção
96;Rafael Ribeiro (Itu);Técnica de Enfermagem;40;1;1;352390;Itu;35.0;🔴 Crítico
97;Beatriz Alves (São);Técnica de Enfermagem;40;0;0;354910;São João da Boa Vista;40.0;🔴 Crítico
98;Camila Santos (São);Técnica de Enfermagem;24;3;0;354910;São João da Boa Vista;34.0;🔴 Crítico
99;Beatriz Alves (Lor);Enfermeiro;30;0;2;352720;Lorena;65.0;🟡 Atenção
100;Ana Silva (Lor);Técnica de Enfermagem;30;0;0;352720;Lorena;55.0;🟡 Atenção
101;Lucas Mendes (Fra);Técnica de Enfermagem;30;2;2;351630;Francisco Morato;45.0;🔴 Crítico
102;Carlos Souza (Fra);Médico Clínico Geral;24;0;1;351630;Francisco Morato;69.0;🟡 Atenção
103;Ana Silva (Pin);Enfermeira Coordenadora;44;0;1;353800;Pindamonhangaba;39.0;🔴 Crítico
104;Beatriz Alves (Pin);Médico Clínico Geral;40;0;0;353800;Pindamonhangaba;40.0;🔴 Crítico
105;Rafael Ribeiro (Pra);Técnica de Enfermagem;12;2;1;354100;Praia Grande;67.0;🟡 Atenção
106;Carlos Souza (Pra);Médico Clínico Geral;36;1;2;354100;Praia Grande;46.0;🔴 Crítico
107;Juliana Rocha (Suz);Enfermeira Coordenadora;16;0;0;355250;Suzano;76.0;🟢 Apto
108;Fernando Costa (Suz);Enfermeiro;16;2;1;355250;Suzano;61.0;🟡 Atenção
109;Rafael Ribeiro (Ara);Técnica de Enfermagem;30;3;1;350330;Araras;30.0;🔴 Crítico
110;Beatriz Alves (Ara);Médico Clínico Geral;44;3;1;350330;Araras;9.0;🔴 Crítico
111;Lucas Mendes (Bra);Enfermeiro;44;3;0;350760;Bragança Paulista;4.0;🔴 Crítico
112;Carlos Souza (Bra);Médico Clínico Geral;44;1;2;350760;Bragança Paulista;34.0;🔴 Crítico
113;Rafael Ribeiro (San);Médico Intensivista;44;2;1;354580;Santa Bárbara d'Oeste;19.0;🔴 Crítico
114;Gabriel Martins (San);Médico Clínico Geral;16;0;1;354580;Santa Bárbara d'Oeste;81.0;🟢 Apto
115;Fernando Costa (Cru);Médico Clínico Geral;30;2;0;351340;Cruzeiro;35.0;🔴 Crítico
116;Beatriz Alves (Cru);Enfermeiro;12;2;2;351340;Cruzeiro;72.0;🟢 Apto
117;Carlos Souza (Hor);Médico Intensivista;12;1;1;351907;Hortolândia;77.0;🟢 Apto
118;Ana Silva (Hor);Médico Clínico Geral;40;2;0;351907;Hortolândia;20.0;🔴 Crítico
119;Camila Santos (Cam);Enfermeiro;12;3;0;350960;Campo Limpo Paulista;52.0;🟡 Atenção
120;Fernando Costa (Cam);Médico Intensivista;36;2;0;350960;Campo Limpo Paulista;26.0;🔴 Crítico
121;Fernando Costa (Gua);Enfermeira Coordenadora;36;1;1;351840;Guaratinguetá;41.0;🔴 Crítico
122;Camila Santos (Gua);Enfermeira Coordenadora;40;1;1;351840;Guaratinguetá;35.0;🔴 Crítico
123;Gabriel Martins (Ita);Médico Clínico Geral;36;2;0;352340;Itatiba;26.0;🔴 Crítico
124;Rafael Ribeiro (Ita);Enfermeiro;36;2;0;352340;Itatiba;26.0;🔴 Crítico
125;Camila Santos (Ass);Médico Clínico Geral;24;3;0;350400;Assis;34.0;🔴 Crítico
126;Mariana Lima (Ass);Técnica de Enfermagem;12;3;0;350400;Assis;52.0;🟡 Atenção
127;Mariana Lima (Ser);Médico Intensivista;40;1;2;355170;Sertãozinho;40.0;🔴 Crítico
128;Mariana Lima (Ser);Enfermeiro;16;1;0;355170;Sertãozinho;66.0;🟡 Atenção
129;Lucas Mendes (São);Técnica de Enfermagem;16;3;1;355060;São Roque;51.0;🟡 Atenção
130;Camila Santos (São);Técnica de Enfermagem;36;0;1;355060;São Roque;51.0;🟡 Atenção
131;Fernando Costa (Lem);Enfermeira Coordenadora;36;1;0;352670;Leme;36.0;🔴 Crítico
132;Carlos Souza (Lem);Técnica de Enfermagem;44;1;1;352670;Leme;29.0;🔴 Crítico
133;Beatriz Alves (Ita);Enfermeira Coordenadora;24;2;0;352260;Itapira;44.0;🔴 Crítico
134;Beatriz Alves (Ita);Técnica de Enfermagem;44;3;2;352260;Itapira;14.0;🔴 Crítico
135;Mariana Lima (Jag);Técnica de Enfermagem;44;0;2;352470;Jaguariúna;44.0;🔴 Crítico
136;Mariana Lima (Jag);Médico Intensivista;36;0;1;352470;Jaguariúna;51.0;🟡 Atenção
137;Fernando Costa (Ati);Enfermeira Coordenadora;40;0;0;350410;Atibaia;40.0;🔴 Crítico
138;Gabriel Martins (Ati);Médico Intensivista;36;2;2;350410;Atibaia;36.0;🔴 Crítico
139;Carlos Souza (Uba);Médico Clínico Geral;30;1;1;355540;Ubatuba;50.0;🟡 Atenção
140;Camila Santos (Uba);Enfermeira Coordenadora;36;3;1;355540;Ubatuba;21.0;🔴 Crítico
141;Juliana Rocha (Ada);Enfermeiro;44;2;1;350010;Adamantina;19.0;🔴 Crítico
142;Gabriel Martins (Ada);Médico Clínico Geral;44;2;2;350010;Adamantina;24.0;🔴 Crítico
143;Gabriel Martins (Vin);Técnica de Enfermagem;16;0;1;355670;Vinhedo;81.0;🟢 Apto
144;Juliana Rocha (Vin);Médico Clínico Geral;30;3;1;355670;Vinhedo;30.0;🔴 Crítico
145;Rafael Ribeiro (Tat);Enfermeira Coordenadora;30;3;0;355400;Tatuí;25.0;🔴 Crítico
146;Lucas Mendes (Tat);Enfermeiro;36;2;1;355400;Tatuí;31.0;🔴 Crítico
147;Rafael Ribeiro (Lin);Médico Clínico Geral;40;3;0;352710;Lins;10.0;🔴 Crítico
148;Camila Santos (Lin);Enfermeiro;44;1;1;352710;Lins;29.0;🔴 Crítico
149;Rafael Ribeiro (Val);Enfermeira Coordenadora;16;3;0;355620;Valinhos;46.0;🔴 Crítico
150;Gabriel Martins (Val);Enfermeira Coordenadora;36;3;1;355620;Valinhos;21.0;🔴 Crítico
151;Rafael Ribeiro (Caj);Médico Clínico Geral;30;3;2;350920;Cajamar;35.0;🔴 Crítico
152;Ana Silva (Caj);Médico Intensivista;16;2;1;350920;Cajamar;61.0;🟡 Atenção
153;Mariana Lima (São);Técnica de Enfermagem;36;2;0;355070;São Sebastião;26.0;🔴 Crítico
154;Beatriz Alves (São);Médico Clínico Geral;16;0;2;355070;São Sebastião;86.0;🟢 Apto
155;Mariana Lima (Dra);Técnica de Enfermagem;40;3;0;351440;Dracena;10.0;🔴 Crítico
156;Rafael Ribeiro (Dra);Médico Clínico Geral;44;3;2;351440;Dracena;14.0;🔴 Crítico
157;Camila Santos (Mai);Médico Clínico Geral;40;0;0;352850;Mairiporã;40.0;🔴 Crítico
158;Juliana Rocha (Mai);Enfermeiro;16;3;2;352850;Mairiporã;56.0;🟡 Atenção
159;Lucas Mendes (São);Enfermeiro;16;2;1;354970;São José do Rio Pardo;61.0;🟡 Atenção
160;Juliana Rocha (São);Técnica de Enfermagem;44;0;0;354970;São José do Rio Pardo;34.0;🔴 Crítico
161;Lucas Mendes (Bat);Médico Intensivista;40;2;1;350590;Batatais;25.0;🔴 Crítico
162;Fernando Costa (Bat);Enfermeiro;44;0;1;350590;Batatais;39.0;🔴 Crítico
163;Camila Santos (San);Médico Clínico Geral;12;3;2;354730;Santana de Parnaíba;62.0;🟡 Atenção
164;Juliana Rocha (San);Técnica de Enfermagem;24;1;0;354730;Santana de Parnaíba;54.0;🟡 Atenção
165;Beatriz Alves (Moc);Técnica de Enfermagem;36;0;1;353050;Mococa;51.0;🟡 Atenção
166;Gabriel Martins (Moc);Médico Intensivista;24;3;0;353050;Mococa;34.0;🔴 Crítico
167;Rafael Ribeiro (Ibi);Enfermeira Coordenadora;24;1;0;351960;Ibitinga;54.0;🟡 Atenção
168;Juliana Rocha (Ibi);Técnica de Enfermagem;40;1;1;351960;Ibitinga;35.0;🔴 Crítico
169;Mariana Lima (Amp);Médico Intensivista;16;1;0;350190;Amparo;66.0;🟡 Atenção
170;Rafael Ribeiro (Amp);Técnica de Enfermagem;44;1;1;350190;Amparo;29.0;🔴 Crítico
171;Camila Santos (Mog);Médico Intensivista;36;0;0;353080;Mogi Mirim;46.0;🔴 Crítico
172;Juliana Rocha (Mog);Técnica de Enfermagem;40;1;0;353080;Mogi Mirim;30.0;🔴 Crítico
173;Juliana Rocha (San);Técnica de Enfermagem;12;3;2;354640;Santa Cruz do Rio Pardo;62.0;🟡 Atenção
174;Beatriz Alves (San);Técnica de Enfermagem;24;3;1;354640;Santa Cruz do Rio Pardo;39.0;🔴 Crítico
175;Beatriz Alves (Sal);Técnica de Enfermagem;30;0;0;354520;Salto;55.0;🟡 Atenção
176;Gabriel Martins (Sal);Médico Clínico Geral;40;1;1;354520;Salto;35.0;🔴 Crítico
177;Fernando Costa (Par);Médico Intensivista;36;3;1;353550;Paraguaçu Paulista;21.0;🔴 Crítico
178;Juliana Rocha (Par);Médico Intensivista;36;1;0;353550;Paraguaçu Paulista;36.0;🔴 Crítico
179;Beatriz Alves (Bir);Médico Intensivista;36;1;0;350650;Birigui;36.0;🔴 Crítico
180;Ana Silva (Bir);Enfermeira Coordenadora;24;0;0;350650;Birigui;64.0;🟡 Atenção
181;Juliana Rocha (Ita);Médico Intensivista;24;3;1;352320;Itararé;39.0;🔴 Crítico
182;Lucas Mendes (Ita);Enfermeira Coordenadora;30;1;2;352320;Itararé;55.0;🟡 Atenção
183;Lucas Mendes (And);Técnica de Enfermagem;40;2;2;350210;Andradina;30.0;🔴 Crítico
184;Ana Silva (And);Médico Intensivista;36;3;1;350210;Andradina;21.0;🔴 Crítico
185;Mariana Lima (Caç);Médico Intensivista;40;1;0;350850;Caçapava;30.0;🔴 Crítico
186;Mariana Lima (Caç);Técnica de Enfermagem;40;1;1;350850;Caçapava;35.0;🔴 Crítico
187;Beatriz Alves (Pen);Enfermeira Coordenadora;40;0;2;353730;Penápolis;50.0;🟡 Atenção
188;Mariana Lima (Pen);Médico Intensivista;16;2;1;353730;Penápolis;61.0;🟡 Atenção
189;Rafael Ribeiro (Olí);Médico Clínico Geral;40;3;1;353390;Olímpia;15.0;🔴 Crítico
190;Lucas Mendes (Olí);Médico Clínico Geral;16;0;0;353390;Olímpia;76.0;🟢 Apto
191;Ana Silva (Vot);Enfermeiro;30;2;1;355700;Votorantim;40.0;🔴 Crítico
192;Camila Santos (Vot);Médico Clínico Geral;30;2;2;355700;Votorantim;45.0;🔴 Crítico
193;Gabriel Martins (Itu);Enfermeiro;36;0;1;352410;Ituverava;51.0;🟡 Atenção
194;Fernando Costa (Itu);Enfermeiro;16;3;0;352410;Ituverava;46.0;🔴 Crítico
195;Fernando Costa (Len);Médico Intensivista;30;3;0;352680;Lençóis Paulista;25.0;🔴 Crítico
196;Lucas Mendes (Len);Enfermeiro;36;3;2;352680;Lençóis Paulista;26.0;🔴 Crítico
197;Juliana Rocha (Por);Enfermeira Coordenadora;24;1;1;354060;Porto Feliz;59.0;🟡 Atenção
198;Mariana Lima (Por);Médico Intensivista;44;2;0;354060;Porto Feliz;14.0;🔴 Crítico
199;Carlos Souza (Taq);Enfermeiro;16;0;1;355370;Taquaritinga;81.0;🟢 Apto
200;Camila Santos (Taq);Enfermeira Coordenadora;44;3;2;355370;Taquaritinga;14.0;🔴 Crítico
201;Camila Santos (Itá);Técnica de Enfermagem;12;2;0;352270;Itápolis;62.0;🟡 Atenção
202;Juliana Rocha (Itá);Técnica de Enfermagem;40;1;2;352270;Itápolis;40.0;🔴 Crítico
203;Gabriel Martins (Nov);Médico Clínico Geral;12;3;2;353350;Novo Horizonte;62.0;🟡 Atenção
204;Fernando Costa (Nov);Técnica de Enfermagem;36;2;0;353350;Novo Horizonte;26.0;🔴 Crítico
205;Carlos Souza (Aru);Enfermeiro;30;1;2;350390;Arujá;55.0;🟡 Atenção
206;Mariana Lima (Aru);Enfermeira Coordenadora;30;2;1;350390;Arujá;40.0;🔴 Crítico
207;Juliana Rocha (Mor);Enfermeiro;30;1;1;353190;Morro Agudo;50.0;🟡 Atenção
208;Juliana Rocha (Mor);Médico Intensivista;36;1;0;353190;Morro Agudo;36.0;🔴 Crítico
209;Lucas Mendes (Lou);Enfermeiro;40;2;0;352730;Louveira;20.0;🔴 Crítico
210;Gabriel Martins (Lou);Enfermeiro;16;2;1;352730;Louveira;61.0;🟡 Atenção
211;Rafael Ribeiro (São);Médico Intensivista;12;0;0;355040;São Pedro;82.0;🟢 Apto
212;Carlos Souza (São);Enfermeiro;36;0;0;355040;São Pedro;46.0;🔴 Crítico
213;Mariana Lima (Jab);Médico Clínico Geral;36;3;0;352430;Jaboticabal;16.0;🔴 Crítico
214;Beatriz Alves (Jab);Técnica de Enfermagem;30;2;2;352430;Jaboticabal;45.0;🔴 Crítico
215;Fernando Costa (Tab);Médico Intensivista;44;0;1;355280;Taboão da Serra;39.0;🔴 Crítico
216;Gabriel Martins (Tab);Enfermeira Coordenadora;30;3;1;355280;Taboão da Serra;30.0;🔴 Crítico
217;Lucas Mendes (Cap);Médico Intensivista;12;0;0;351040;Capivari;82.0;🟢 Apto
218;Ana Silva (Cap);Médico Clínico Geral;36;1;0;351040;Capivari;36.0;🔴 Crítico
219;Camila Santos (Caj);Médico Clínico Geral;12;3;0;350940;Cajuru;52.0;🟡 Atenção
220;Ana Silva (Caj);Médico Intensivista;16;3;0;350940;Cajuru;46.0;🔴 Crítico
221;Juliana Rocha (Pie);Médico Intensivista;16;1;0;353780;Piedade;66.0;🟡 Atenção
222;Ana Silva (Pie);Técnica de Enfermagem;24;1;0;353780;Piedade;54.0;🟡 Atenção
223;Mariana Lima (Esp);Enfermeiro;44;3;0;351518;Espírito Santo do Pinhal;4.0;🔴 Crítico
224;Beatriz Alves (Esp);Enfermeiro;30;0;2;351518;Espírito Santo do Pinhal;65.0;🟡 Atenção
225;Ana Silva (Pre);Enfermeiro;12;2;2;354130;Presidente Epitácio;72.0;🟢 Apto
226;Gabriel Martins (Pre);Médico Clínico Geral;24;3;2;354130;Presidente Epitácio;44.0;🔴 Crítico
227;Gabriel Martins (Pir);Médico Intensivista;36;3;0;353930;Pirassununga;16.0;🔴 Crítico
228;Fernando Costa (Pir);Enfermeira Coordenadora;44;1;2;353930;Pirassununga;34.0;🔴 Crítico
229;Rafael Ribeiro (Boi);Enfermeiro;44;2;2;350700;Boituva;24.0;🔴 Crítico
230;Gabriel Martins (Boi);Médico Intensivista;36;1;1;350700;Boituva;41.0;🔴 Crítico
231;Gabriel Martins (Itu);Médico Clínico Geral;40;2;0;352400;Itupeva;20.0;🔴 Crítico
232;Carlos Souza (Itu);Enfermeira Coordenadora;12;1;2;352400;Itupeva;82.0;🟢 Apto
233;Fernando Costa (Mon);Médico Clínico Geral;12;3;1;353130;Monte Alto;57.0;🟡 Atenção
234;Juliana Rocha (Mon);Médico Intensivista;12;0;1;353130;Monte Alto;87.0;🟢 Apto
235;Gabriel Martins (Cap);Médico Intensivista;16;0;2;351020;Capão Bonito;86.0;🟢 Apto
236;Carlos Souza (Cap);Enfermeira Coordenadora;40;0;0;351020;Capão Bonito;40.0;🔴 Crítico
237;Gabriel Martins (San);Médico Intensivista;16;2;0;354680;Santa Isabel;56.0;🟡 Atenção
238;Gabriel Martins (San);Enfermeira Coordenadora;44;0;0;354680;Santa Isabel;34.0;🔴 Crítico
239;Camila Santos (San);Médico Intensivista;40;3;1;354660;Santa Fé do Sul;15.0;🔴 Crítico
240;Fernando Costa (San);Enfermeiro;40;3;1;354660;Santa Fé do Sul;15.0;🔴 Crítico
241;Ana Silva (Pre);Enfermeiro;30;3;2;354150;Presidente Venceslau;35.0;🔴 Crítico
242;Juliana Rocha (Pre);Médico Clínico Geral;24;1;1;354150;Presidente Venceslau;59.0;🟡 Atenção
243;Carlos Souza (Cos);Enfermeiro;30;0;2;351280;Cosmópolis;65.0;🟡 Atenção
244;Gabriel Martins (Cos);Técnica de Enfermagem;36;1;0;351280;Cosmópolis;36.0;🔴 Crítico
245;Lucas Mendes (Gua);Enfermeira Coordenadora;24;3;1;351740;Guaíra;39.0;🔴 Crítico
246;Carlos Souza (Gua);Médico Intensivista;12;1;0;351740;Guaíra;72.0;🟢 Apto
247;Fernando Costa (Por);Enfermeira Coordenadora;36;0;2;354070;Porto Ferreira;56.0;🟡 Atenção
248;Mariana Lima (Por);Técnica de Enfermagem;16;2;2;354070;Porto Ferreira;66.0;🟡 Atenção
249;Beatriz Alves (Ped);Enfermeiro;36;1;2;353670;Pederneiras;46.0;🔴 Crítico
250;Lucas Mendes (Ped);Enfermeira Coordenadora;12;3;2;353670;Pederneiras;62.0;🟡 Atenção
251;Juliana Rocha (Osv);Técnica de Enfermagem;44;0;1;353460;Osvaldo Cruz;39.0;🔴 Crítico
252;Gabriel Martins (Osv);Médico Intensivista;44;0;0;353460;Osvaldo Cruz;34.0;🔴 Crítico
253;Beatriz Alves (Gar);Enfermeira Coordenadora;16;3;0;351670;Garça;46.0;🔴 Crítico
254;Rafael Ribeiro (Gar);Médico Intensivista;12;3;2;351670;Garça;62.0;🟡 Atenção
255;Beatriz Alves (Cam);Enfermeira Coordenadora;24;0;1;350970;Campos do Jordão;69.0;🟡 Atenção
256;Camila Santos (Cam);Técnica de Enfermagem;24;1;0;350970;Campos do Jordão;54.0;🟡 Atenção
257;Rafael Ribeiro (Rib);Médico Intensivista;30;1;1;354330;Ribeirão Pires;50.0;🟡 Atenção
